,INSTNM,CITY,ADM_RATE,SAT_AVG,UGDS,UG,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,FAMINC
1270,Northwest Louisiana Technical Community College,Minden,,,791.0,,17196.0,,4109.0,4109.0,,,
1271,Northwestern State University of Louisiana,Natchitoches,0.9793,1089.0,6243.0,,23950.0,,8672.0,19460.0,,,
1272,University of Holy Cross,New Orleans,0.8735,,453.0,,26352.0,,15960.0,15960.0,,,
1273,Franciscan Missionaries of Our Lady University,Baton Rouge,0.8478,1120.0,844.0,,25871.0,,15012.0,15012.0,,,
1274,Pat Goins Benton Road Beauty School,Shreveport,,,182.0,,,18094.0,,,,,
1275,Celebrity Stylist Beauty School,Monroe,,,37.0,,,20419.0,,,,,
1276,Pineville Beauty School,Pineville,,,41.0,,,17485.0,,,,,
1277,Aveda Arts & Sciences Institute-Covington,Covington,,,2499.0,,,28395.0,,,,,
1278,Saint Joseph Seminary College,St. Benedict,,,106.0,,41450.0,,24725.0,24725.0,,,
1279,LaSalle Tech,Houma,,,106.0,,,16465.0,,,,,
1280,Fletcher Technical Community College,Schriever,,,1788.0,,12575.0,,4119.0,4119.0,,,
1281,Remington College-Lafayette Campus,Lafayette,,,270.0,,30881.0,,22272.0,22272.0,,,
1282,SOWELA Technical Community College,Lake Charles,,,2796.0,,14901.0,,4265.0,4265.0,,,
1283,Stevensons Academy of Hair Design,New Orleans,,,161.0,,,,,,,,
1284,Southeastern Louisiana University,Hammond,0.9898,1090.0,9567.0,,21784.0,,8373.0,20851.0,,,
1285,Southern University and A & M College,Baton Rouge,0.539,940.0,5171.0,,24483.0,,9940.0,17198.0,,,
1286,Southern University at New Orleans,New Orleans,0.9353,950.0,1144.0,,20982.0,,7471.0,16371.0,,,
1287,Southern University at Shreveport,Shreveport,,,2069.0,,17518.0,,4958.0,4958.0,,,
1288,University of Louisiana at Lafayette,Lafayette,0.7456,,11932.0,,23800.0,,10382.0,24110.0,,,
1289,Northshore Technical Community College,Lacombe,,,1781.0,,15214.0,,4203.0,4203.0,,,
1290,Tulane University of Louisiana,New Orleans,0.1145,1443.0,8490.0,,80932.0,,62844.0,62844.0,,,
1291,Xavier University of Louisiana,New Orleans,0.9516,1103.0,2681.0,,38603.0,,26863.0,26863.0,,,
1292,College of the Atlantic,Bar Harbor,0.6008,,372.0,,54969.0,,44829.0,44829.0,,,
1293,Bates College,Lewiston,0.1374,1480.0,1790.0,,77870.0,,61066.0,61066.0,,,
1294,Beal University,Bangor,,,395.0,,,30261.0,,,,,
1295,Bowdoin College,Brunswick,0.0919,1520.0,1909.0,,76310.0,,61528.0,61528.0,,,
1296,Maine College of Health Professions,Lewiston,0.5625,,237.0,,24311.0,,16238.0,16238.0,,,
1297,Central Maine Community College,Auburn,,,2249.0,,14976.0,,3760.0,6640.0,,,
1298,Colby College,Waterville,0.0761,1501.0,2299.0,,78665.0,,63520.0,63520.0,,,
1299,Eastern Maine Community College,Bangor,,,1479.0,,16037.0,,3877.0,6757.0,,,
1300,Kennebec Valley Community College,Fairfield,,,1311.0,,14677.0,,3687.0,6567.0,,,
1301,The Landing School,Arundel,,,46.0,,40093.0,,26012.0,26012.0,,,
1302,University of Maine at Augusta,Augusta,,,2870.0,,18446.0,,8378.0,19778.0,,,
1303,University of Maine at Farmington,Farmington,0.9417,1110.0,1217.0,,23772.0,,9890.0,21650.0,,,
1304,University of Maine at Fort Kent,Fort Kent,0.9924,,650.0,,18231.0,,8805.0,13575.0,,,
1305,University of Maine,Orono,0.9396,1202.0,8720.0,,25586.0,,12136.0,33736.0,,,
1306,Maine Maritime Academy,Castine,0.5765,1166.0,874.0,,29140.0,,14562.0,30042.0,,,
1307,University of Maine at Presque Isle,Presque Isle,0.9699,,1100.0,,16717.0,,8750.0,13160.0,,,
1308,University of New England,Biddeford,0.9628,,2272.0,,59327.0,,40950.0,40950.0,,,
1309,Northern Maine Community College,Presque Isle,,,522.0,,16229.0,,3730.0,6610.0,,,
1310,Empire Beauty School-Maine,Portland,,,155.0,,,19099.0,,,,,
1311,Maine College of Art & Design,Portland,0.7396,,380.0,,55612.0,,39830.0,39830.0,,,
1312,Saint Joseph's College of Maine,Standish,0.8084,1060.0,963.0,,56612.0,,41586.0,41586.0,,,
1313,Spa Tech Institute-Westbrook,Westbrook,,,248.0,,,21160.0,,,,,
1314,Southern Maine Community College,South Portland,,,4527.0,,15862.0,,3797.0,6677.0,,,
1315,University of Southern Maine,Portland,0.8543,1109.0,4322.0,,21010.0,,10120.0,24736.0,,,
1316,Thomas College,Waterville,0.9724,,673.0,,42804.0,,29996.0,29996.0,,,
1317,Unity College,New Gloucester,0.9431,,3679.0,,21676.0,,12640.0,12640.0,,,
1318,Washington County Community College,Calais,,,273.0,,13787.0,,3687.0,6567.0,,,
1319,Allegany College of Maryland,Cumberland,,,1764.0,,16367.0,,4730.0,11060.0,,,
1320,Anne Arundel Community College,Arnold,,,8326.0,,19167.0,,4970.0,13760.0,,,
1321,Award Beauty School,Hagerstown,,,147.0,,,22604.0,,,,,
1322,Baltimore Studio of Hair Design,Baltimore,,,43.0,,,20166.0,,,,,
1323,Baltimore City Community College,Baltimore,,,2594.0,,11974.0,,3314.0,7394.0,,,
1324,University of Baltimore,Baltimore,0.8933,980.0,1351.0,,25573.0,,9506.0,22956.0,,,
1325,Bowie State University,Bowie,0.8654,910.0,5289.0,,23671.0,,8748.0,19470.0,,,
1326,Capitol Technology University,Laurel,0.6434,,296.0,,39553.0,,27004.0,27004.0,,,
1327,Cecil College,North East,,,1315.0,,14003.0,,4920.0,9510.0,,,
1328,College of Southern Maryland,La Plata,,,4378.0,,12260.0,,4110.0,9240.0,,,
1329,Chesapeake College,Wye Mills,,,1273.0,,9869.0,,4010.0,8504.0,,,
1330,Washington Adventist University,Takoma Park,0.5143,,499.0,,33024.0,,25200.0,25200.0,,,
1331,Coppin State University,Baltimore,0.4495,940.0,1708.0,,18010.0,,6904.0,13560.0,,,
1332,Del-Mar-Va Beauty Academy,Salisbury,,,54.0,,,29835.0,,,,,
1333,North American Trade Schools,Baltimore,,,612.0,,,16448.0,,,,,
1334,Frederick Community College,Frederick,,,3653.0,,8693.0,,3772.0,9844.0,,,
1335,Frostburg State University,Frostburg,0.8788,,2873.0,,25798.0,,9804.0,24684.0,,,
1336,Garrett College,McHenry,,,367.0,,11940.0,,3976.0,12124.0,,,
1337,Goucher College,Baltimore,0.8024,1258.0,981.0,,65729.0,,49220.0,49220.0,,,
1338,Hagerstown Community College,Hagerstown,,,2695.0,,12323.0,,4320.0,8190.0,,,
1339,Harford Community College,Bel Air,,,3620.0,,13223.0,,3888.0,8448.0,,,
1340,Hood College,Frederick,0.7787,,1182.0,,56858.0,,44500.0,44500.0,,,
1341,Howard Community College,Columbia,,,6905.0,,14597.0,,4088.0,8408.0,,,
1342,Aveda Institute-Maryland,Bel Air,,,94.0,,,20137.0,,,,,
1343,Johns Hopkins University,Baltimore,0.0725,1553.0,5643.0,,78415.0,,60480.0,60480.0,,,
1344,Lincoln College of Technology-Columbia,Columbia,,,947.0,,,39077.0,,,,,
1345,Loyola University Maryland,Baltimore,0.8348,1285.0,3968.0,,69819.0,,53430.0,53430.0,,,
1346,University of Maryland Global Campus,Adelphi,,,44458.0,,20657.0,,7848.0,12336.0,,,
1347,University of Maryland Baltimore,Baltimore,,,956.0,,,,,,,,
1348,University of Maryland-Baltimore County,Baltimore,0.8055,1295.0,10557.0,,27183.0,,12606.0,29370.0,,,
1349,University of Maryland-College Park,College Park,0.4461,1461.0,29982.0,,26781.0,,11233.0,39469.0,,,
1350,Maryland Institute College of Art,Baltimore,0.7958,1169.0,1401.0,,69047.0,,53815.0,53815.0,,,
1351,University of Maryland Eastern Shore,Princess Anne,0.8156,,1877.0,,24564.0,,8898.0,19728.0,,,
1352,Fortis Institute-Towson,Towson,,,382.0,,,29015.0,,,,,
1353,Montgomery Beauty School,Silver Spring,,,83.0,,,22802.0,,,,,
1354,Montgomery College,Rockville,,,13357.0,,14734.0,,5322.0,14034.0,,,
1355,Morgan State University,Baltimore,0.8538,971.0,7599.0,,24726.0,,8008.0,18479.0,,,
1356,Mount St. Mary's University,Emmitsburg,0.7957,1146.0,1824.0,,60493.0,,45870.0,45870.0,,,
1357,Ner Israel Rabbinical College,Baltimore,0.7222,,246.0,,24450.0,,13700.0,13700.0,,,
1358,Hair Academy,New Carrollton,,,265.0,,,20934.0,,,,,
1359,Notre Dame of Maryland University,Baltimore,0.6958,,634.0,,56689.0,,40730.0,40730.0,,,
1360,Prince George's Community College,Largo,,,8618.0,,20037.0,,3914.0,8642.0,,,
1361,Maryland Beauty Academy of Essex,Baltimore,,,41.0,,,19680.0,,,,,
1362,Salisbury University,Salisbury,0.9106,1237.0,6145.0,,25314.0,,10396.0,20872.0,,,
1363,St. Mary's College of Maryland,St. Mary's City,0.773,1261.0,1476.0,,30421.0,,15184.0,31260.0,,,
1364,St. John's College,Annapolis,0.499,1378.0,462.0,,51458.0,,37260.0,37260.0,,,
1365,Towson University,Towson,0.786,1138.0,16734.0,,25928.0,,10818.0,26820.0,,,
1366,Maryland University of Integrative Health,Laurel,,,,,,,,,,,
1367,United States Naval Academy,Annapolis,0.1075,1326.0,4450.0,,,,,,,,
